date,atm_id,location_type,foot_traffic,cash_withdrawn
2023-01-01,ATM_001,Rural,5,7495
2023-01-01,ATM_002,Urban,5,18573
2023-01-01,ATM_003,Rural,6,5151
2023-01-01,ATM_004,Rural,5,6103
2023-01-01,ATM_005,Urban,9,21800
2023-01-01,ATM_006,Urban,3,16487
2023-01-01,ATM_007,Rural,9,5497
2023-01-01,ATM_008,Suburban,9,16068
2023-01-01,ATM_009,Rural,9,17686
2023-01-01,ATM_010,Rural,9,14357
2023-01-02,ATM_001,Rural,4,4009
2023-01-02,ATM_002,Urban,3,21618
2023-01-02,ATM_003,Rural,4,15121
2023-01-02,ATM_004,Rural,4,2956
2023-01-02,ATM_005,Urban,4,6239
2023-01-02,ATM_006,Urban,2,12691
2023-01-02,ATM_007,Rural,2,7928
2023-01-02,ATM_008,Suburban,8,8773
2023-01-02,ATM_009,Rural,9,8855
2023-01-02,ATM_010,Rural,5,9907
2023-01-03,ATM_001,Rural,9,12901
2023-01-03,ATM_002,Urban,1,10650
2023-01-03,ATM_003,Rural,9,17554
2023-01-03,ATM_004,Rural,8,3174
2023-01-03,ATM_005,Urban,1,19582
2023-01-03,ATM_006,Urban,1,5007
2023-01-03,ATM_007,Rural,7,13938
2023-01-03,ATM_008,Suburban,9,8869
2023-01-03,ATM_009,Rural,1,14496
2023-01-03,ATM_010,Rural,8,3527
2023-01-04,ATM_001,Rural,3,12451
2023-01-04,ATM_002,Urban,3,11158
2023-01-04,ATM_003,Rural,7,18129
2023-01-04,ATM_004,Rural,7,7807
2023-01-04,ATM_005,Urban,3,4601
2023-01-04,ATM_006,Urban,1,20039
2023-01-04,ATM_007,Rural,4,9350
2023-01-04,ATM_008,Suburban,7,20531
2023-01-04,ATM_009,Rural,4,2348
2023-01-04,ATM_010,Rural,3,17396
2023-01-05,ATM_001,Rural,9,11998
2023-01-05,ATM_002,Urban,4,17240
2023-01-05,ATM_003,Rural,7,17614
2023-01-05,ATM_004,Rural,7,16679
2023-01-05,ATM_005,Urban,9,7113
2023-01-05,ATM_006,Urban,9,13138
2023-01-05,ATM_007,Rural,3,4472
2023-01-05,ATM_008,Suburban,6,16391
2023-01-05,ATM_009,Rural,4,18611
2023-01-05,ATM_010,Rural,4,19233
2023-01-06,ATM_001,Rural,7,18684
2023-01-06,ATM_002,Urban,8,16409
2023-01-06,ATM_003,Rural,2,17694
2023-01-06,ATM_004,Rural,6,5456
2023-01-06,ATM_005,Urban,1,5337
2023-01-06,ATM_006,Urban,6,17654
2023-01-06,ATM_007,Rural,8,5869
2023-01-06,ATM_008,Suburban,8,15247
2023-01-06,ATM_009,Rural,2,9387
2023-01-06,ATM_010,Rural,1,1678
2023-01-07,ATM_001,Rural,3,11350
2023-01-07,ATM_002,Urban,3,25711
