date,atm_id,location_type,day_of_week,is_weekend,month,is_month_end,quarter,predicted_cash
2025-05-14,ATM_001,Urban,2,0,5,0,2,8654.719
2025-05-14,ATM_001,Rural,2,0,5,0,2,5543.364
2025-05-14,ATM_001,Suburban,2,0,5,0,2,7448.51
2025-05-14,ATM_002,Urban,2,0,5,0,2,8979.361
2025-05-14,ATM_002,Rural,2,0,5,0,2,5472.828
2025-05-14,ATM_002,Suburban,2,0,5,0,2,7515.41
2025-05-14,ATM_003,Urban,2,0,5,0,2,8933.0
2025-05-14,ATM_003,Rural,2,0,5,0,2,5528.6177
2025-05-14,ATM_003,Suburban,2,0,5,0,2,7052.261
2025-05-14,ATM_004,Urban,2,0,5,0,2,8983.136
2025-05-14,ATM_004,Rural,2,0,5,0,2,5592.9336
2025-05-14,ATM_004,Suburban,2,0,5,0,2,7515.017
2025-05-14,ATM_005,Urban,2,0,5,0,2,8979.361
2025-05-14,ATM_005,Rural,2,0,5,0,2,5630.154
2025-05-14,ATM_005,Suburban,2,0,5,0,2,7513.325
2025-05-14,ATM_006,Urban,2,0,5,0,2,8813.283
2025-05-14,ATM_006,Rural,2,0,5,0,2,5515.454
2025-05-14,ATM_006,Suburban,2,0,5,0,2,7491.7617
2025-05-14,ATM_007,Urban,2,0,5,0,2,9004.409
2025-05-14,ATM_007,Rural,2,0,5,0,2,5563.343
2025-05-14,ATM_007,Suburban,2,0,5,0,2,7546.8584
2025-05-14,ATM_008,Urban,2,0,5,0,2,8959.57
2025-05-14,ATM_008,Rural,2,0,5,0,2,5603.5767
2025-05-14,ATM_008,Suburban,2,0,5,0,2,7501.9805
2025-05-14,ATM_009,Urban,2,0,5,0,2,8979.361
2025-05-14,ATM_009,Rural,2,0,5,0,2,5244.431
2025-05-14,ATM_009,Suburban,2,0,5,0,2,7518.1416
2025-05-14,ATM_010,Urban,2,0,5,0,2,9000.361
2025-05-14,ATM_010,Rural,2,0,5,0,2,5572.18
2025-05-14,ATM_010,Suburban,2,0,5,0,2,7506.6367
2025-05-14,ATM_011,Urban,2,0,5,0,2,8979.361
2025-05-14,ATM_011,Rural,2,0,5,0,2,5536.3013
2025-05-14,ATM_011,Suburban,2,0,5,0,2,7532.736
2025-05-14,ATM_012,Urban,2,0,5,0,2,9144.269
2025-05-14,ATM_012,Rural,2,0,5,0,2,5569.5356
2025-05-14,ATM_012,Suburban,2,0,5,0,2,7560.52
2025-05-14,ATM_013,Urban,2,0,5,0,2,8979.361
2025-05-14,ATM_013,Rural,2,0,5,0,2,5607.888
2025-05-14,ATM_013,Suburban,2,0,5,0,2,7521.7715
2025-05-14,ATM_014,Urban,2,0,5,0,2,9005.077
2025-05-14,ATM_014,Rural,2,0,5,0,2,5563.343
2025-05-14,ATM_014,Suburban,2,0,5,0,2,7694.4688
2025-05-14,ATM_015,Urban,2,0,5,0,2,8979.361
2025-05-14,ATM_015,Rural,2,0,5,0,2,5572.8545
2025-05-14,ATM_015,Suburban,2,0,5,0,2,7516.1235
2025-05-14,ATM_016,Urban,2,0,5,0,2,8979.361
2025-05-14,ATM_016,Rural,2,0,5,0,2,5838.1724
2025-05-14,ATM_016,Suburban,2,0,5,0,2,7570.547
2025-05-14,ATM_017,Urban,2,0,5,0,2,9001.604
2025-05-14,ATM_017,Rural,2,0,5,0,2,5615.0933
2025-05-14,ATM_017,Suburban,2,0,5,0,2,7868.322
2025-05-14,ATM_018,Urban,2,0,5,0,2,9122.086
2025-05-14,ATM_018,Rural,2,0,5,0,2,5564.338
2025-05-14,ATM_018,Suburban,2,0,5,0,2,7522.7666
2025-05-14,ATM_019,Urban,2,0,5,0,2,8710.22
2025-05-14,ATM_019,Rural,2,0,5,0,2,5563.343
2025-05-14,ATM_019,Suburban,2,0,5,0,2,7664.6953
2025-05-14,ATM_020,Urban,2,0,5,0,2,8979.361
2025-05-14,ATM_020,Rural,2,0,5,0,2,5687.165
2025-05-14,ATM_020,Suburban,2,0,5,0,2,7521.7715
2025-05-15,ATM_001,Urban,3,0,5,0,2,8665.246
2025-05-15,ATM_001,Rural,3,0,5,0,2,5494.238
2025-05-15,ATM_001,Suburban,3,0,5,0,2,7611.478
2025-05-15,ATM_002,Urban,3,0,5,0,2,8953.884
2025-05-15,ATM_002,Rural,3,0,5,0,2,5399.2036
2025-05-15,ATM_002,Suburban,3,0,5,0,2,7681.541
2025-05-15,ATM_003,Urban,3,0,5,0,2,8939.099
2025-05-15,ATM_003,Rural,3,0,5,0,2,5506.4126
2025-05-15,ATM_003,Suburban,3,0,5,0,2,7387.1978
2025-05-15,ATM_004,Urban,3,0,5,0,2,9011.407
2025-05-15,ATM_004,Rural,3,0,5,0,2,5543.8076
2025-05-15,ATM_004,Suburban,3,0,5,0,2,7675.398
2025-05-15,ATM_005,Urban,3,0,5,0,2,8953.884
2025-05-15,ATM_005,Rural,3,0,5,0,2,5753.127
2025-05-15,ATM_005,Suburban,3,0,5,0,2,7704.0454
2025-05-15,ATM_006,Urban,3,0,5,0,2,8988.5
2025-05-15,ATM_006,Rural,3,0,5,0,2,5545.727
2025-05-15,ATM_006,Suburban,3,0,5,0,2,7798.694
2025-05-15,ATM_007,Urban,3,0,5,0,2,8965.539
2025-05-15,ATM_007,Rural,3,0,5,0,2,5514.217
2025-05-15,ATM_007,Suburban,3,0,5,0,2,7712.9893
2025-05-15,ATM_008,Urban,3,0,5,0,2,8920.106
2025-05-15,ATM_008,Rural,3,0,5,0,2,5761.7603
2025-05-15,ATM_008,Suburban,3,0,5,0,2,7654.1255
2025-05-15,ATM_009,Urban,3,0,5,0,2,8953.884
2025-05-15,ATM_009,Rural,3,0,5,0,2,5181.234
2025-05-15,ATM_009,Suburban,3,0,5,0,2,7693.427
2025-05-15,ATM_010,Urban,3,0,5,0,2,8974.884
2025-05-15,ATM_010,Rural,3,0,5,0,2,5523.054
2025-05-15,ATM_010,Suburban,3,0,5,0,2,7655.4434
2025-05-15,ATM_011,Urban,3,0,5,0,2,8953.884
2025-05-15,ATM_011,Rural,3,0,5,0,2,5451.485
2025-05-15,ATM_011,Suburban,3,0,5,0,2,7679.653
2025-05-15,ATM_012,Urban,3,0,5,0,2,8910.386
2025-05-15,ATM_012,Rural,3,0,5,0,2,5520.4097
2025-05-15,ATM_012,Suburban,3,0,5,0,2,7670.9854
2025-05-15,ATM_013,Urban,3,0,5,0,2,8953.884
2025-05-15,ATM_013,Rural,3,0,5,0,2,5637.5083
2025-05-15,ATM_013,Suburban,3,0,5,0,2,7687.9023
2025-05-15,ATM_014,Urban,3,0,5,0,2,8989.382
2025-05-15,ATM_014,Rural,3,0,5,0,2,5514.217
2025-05-15,ATM_014,Suburban,3,0,5,0,2,7859.6177
2025-05-15,ATM_015,Urban,3,0,5,0,2,8962.722
2025-05-15,ATM_015,Rural,3,0,5,0,2,5526.8354
2025-05-15,ATM_015,Suburban,3,0,5,0,2,7814.8413
2025-05-15,ATM_016,Urban,3,0,5,0,2,8953.884
2025-05-15,ATM_016,Rural,3,0,5,0,2,5700.3584
2025-05-15,ATM_016,Suburban,3,0,5,0,2,7736.6777
2025-05-15,ATM_017,Urban,3,0,5,0,2,8985.908
2025-05-15,ATM_017,Rural,3,0,5,0,2,5565.9673
2025-05-15,ATM_017,Suburban,3,0,5,0,2,7940.1763
2025-05-15,ATM_018,Urban,3,0,5,0,2,9029.499
2025-05-15,ATM_018,Rural,3,0,5,0,2,5515.212
2025-05-15,ATM_018,Suburban,3,0,5,0,2,7688.8975
2025-05-15,ATM_019,Urban,3,0,5,0,2,9304.442
2025-05-15,ATM_019,Rural,3,0,5,0,2,5514.217
2025-05-15,ATM_019,Suburban,3,0,5,0,2,7858.4185
2025-05-15,ATM_020,Urban,3,0,5,0,2,8953.884
2025-05-15,ATM_020,Rural,3,0,5,0,2,5156.831
2025-05-15,ATM_020,Suburban,3,0,5,0,2,7687.9023
2025-05-16,ATM_001,Urban,4,0,5,0,2,8650.141
2025-05-16,ATM_001,Rural,4,0,5,0,2,5535.6714
2025-05-16,ATM_001,Suburban,4,0,5,0,2,7379.7676
2025-05-16,ATM_002,Urban,4,0,5,0,2,8891.138
2025-05-16,ATM_002,Rural,4,0,5,0,2,5254.04
2025-05-16,ATM_002,Suburban,4,0,5,0,2,7411.52
2025-05-16,ATM_003,Urban,4,0,5,0,2,8899.791
2025-05-16,ATM_003,Rural,4,0,5,0,2,5538.9834
2025-05-16,ATM_003,Suburban,4,0,5,0,2,7323.629
2025-05-16,ATM_004,Urban,4,0,5,0,2,8929.752
2025-05-16,ATM_004,Rural,4,0,5,0,2,5555.3438
2025-05-16,ATM_004,Suburban,4,0,5,0,2,7271.9688
2025-05-16,ATM_005,Urban,4,0,5,0,2,8891.138
2025-05-16,ATM_005,Rural,4,0,5,0,2,5690.7773
2025-05-16,ATM_005,Suburban,4,0,5,0,2,7434.0244
2025-05-16,ATM_006,Urban,4,0,5,0,2,9002.515
2025-05-16,ATM_006,Rural,4,0,5,0,2,5582.1084
2025-05-16,ATM_006,Suburban,4,0,5,0,2,7579.9062
2025-05-16,ATM_007,Urban,4,0,5,0,2,8859.2705
2025-05-16,ATM_007,Rural,4,0,5,0,2,5535.6714
2025-05-16,ATM_007,Suburban,4,0,5,0,2,7442.9683
2025-05-16,ATM_008,Urban,4,0,5,0,2,8852.318
2025-05-16,ATM_008,Rural,4,0,5,0,2,5886.1665
2025-05-16,ATM_008,Suburban,4,0,5,0,2,7379.0625
2025-05-16,ATM_009,Urban,4,0,5,0,2,8891.138
2025-05-16,ATM_009,Rural,4,0,5,0,2,5832.643
2025-05-16,ATM_009,Suburban,4,0,5,0,2,7423.406
2025-05-16,ATM_010,Urban,4,0,5,0,2,8874.425
2025-05-16,ATM_010,Rural,4,0,5,0,2,5506.7964
2025-05-16,ATM_010,Suburban,4,0,5,0,2,7196.696
2025-05-16,ATM_011,Urban,4,0,5,0,2,8891.138
2025-05-16,ATM_011,Rural,4,0,5,0,2,5560.3965
2025-05-16,ATM_011,Suburban,4,0,5,0,2,7409.632
2025-05-16,ATM_012,Urban,4,0,5,0,2,8914.241
2025-05-16,ATM_012,Rural,4,0,5,0,2,5536.8223
2025-05-16,ATM_012,Suburban,4,0,5,0,2,7444.7993
2025-05-16,ATM_013,Urban,4,0,5,0,2,8891.138
2025-05-16,ATM_013,Rural,4,0,5,0,2,5611.6177
2025-05-16,ATM_013,Suburban,4,0,5,0,2,7417.8813
2025-05-16,ATM_014,Urban,4,0,5,0,2,8854.87
2025-05-16,ATM_014,Rural,4,0,5,0,2,5535.6714
2025-05-16,ATM_014,Suburban,4,0,5,0,2,7523.092
2025-05-16,ATM_015,Urban,4,0,5,0,2,8899.976
2025-05-16,ATM_015,Rural,4,0,5,0,2,5548.29
2025-05-16,ATM_015,Suburban,4,0,5,0,2,7628.053
2025-05-16,ATM_016,Urban,4,0,5,0,2,8891.138
2025-05-16,ATM_016,Rural,4,0,5,0,2,5387.0195
2025-05-16,ATM_016,Suburban,4,0,5,0,2,7378.6714
2025-05-16,ATM_017,Urban,4,0,5,0,2,8918.293
2025-05-16,ATM_017,Rural,4,0,5,0,2,5561.7183
2025-05-16,ATM_017,Suburban,4,0,5,0,2,7727.848
2025-05-16,ATM_018,Urban,4,0,5,0,2,8759.374
2025-05-16,ATM_018,Rural,4,0,5,0,2,5529.085
2025-05-16,ATM_018,Suburban,4,0,5,0,2,7411.295
2025-05-16,ATM_019,Urban,4,0,5,0,2,9137.892
2025-05-16,ATM_019,Rural,4,0,5,0,2,5535.6714
2025-05-16,ATM_019,Suburban,4,0,5,0,2,7425.12
2025-05-16,ATM_020,Urban,4,0,5,0,2,8891.138
2025-05-16,ATM_020,Rural,4,0,5,0,2,5241.2446
2025-05-16,ATM_020,Suburban,4,0,5,0,2,7417.8813
2025-05-17,ATM_001,Urban,5,1,5,0,2,10532.373
2025-05-17,ATM_001,Rural,5,1,5,0,2,6446.11
2025-05-17,ATM_001,Suburban,5,1,5,0,2,9071.734
2025-05-17,ATM_002,Urban,5,1,5,0,2,10651.777
2025-05-17,ATM_002,Rural,5,1,5,0,2,6513.237
2025-05-17,ATM_002,Suburban,5,1,5,0,2,8915.286
2025-05-17,ATM_003,Urban,5,1,5,0,2,10693.927
2025-05-17,ATM_003,Rural,5,1,5,0,2,6504.9087
2025-05-17,ATM_003,Suburban,5,1,5,0,2,9169.19
2025-05-17,ATM_004,Urban,5,1,5,0,2,10621.281
